,Bins,Contribution,accum,step1,step2,mapped
246,2.45,400,0.816207774,0.0176860148722,200.136536035,99.3593771683
247,2.46,388,0.810564662,0.017155434426,200.153691469,99.3651713827
248,2.47,454,0.803961639,0.0200736268799,200.173765096,99.3707917707
249,2.48,458,0.79730044,0.0202504870286,200.194015583,99.3773682041
250,2.49,411,0.791322814,0.0181723802812,200.212187963,99.3840025796
251,2.5,424,0.785156114,0.0187471757645,200.230935139,99.3899561349
252,2.51,407,0.779236664,0.0179955201324,200.248930659,99.3960980022
253,2.52,454,0.772633642,0.0200736268799,200.269004286,99.4019936154
254,2.53,433,0.766336045,0.0191451110991,200.288149397,99.4085700487
255,2.54,439,0.759951184,0.0194104013222,200.307559799,99.4148422858
256,2.55,423,0.753799029,0.0187029607273,200.326262759,99.4212014362
257,2.56,383,0.748228637,0.0169343592401,200.343197119,99.4273288179
258,2.57,414,0.742207379,0.0183050253927,200.361502144,99.4328767782
259,2.58,430,0.735953415,0.0190124659876,200.38051461,99.4388737901
260,2.59,392,0.730252126,0.0173322945747,200.397846905,99.4451025706
261,2.6,381,0.724710823,0.0168459291657,200.414692834,99.4507809008
262,2.61,340,0.719765828,0.0150331126413,200.429725946,99.45629989
263,2.62,355,0.714602672,0.0156963381991,200.445422285,99.4612249723
264,2.63,395,0.708857751,0.0174649396863,200.462887224,99.4663673375
265,2.64,373,0.703432801,0.0164922088683,200.479379433,99.4720891243
266,2.65,361,0.69818238,0.0159616284221,200.495341062,99.4774922292
267,2.66,408,0.692248386,0.0180397351696,200.513380797,99.4827215077
268,2.67,342,0.687274303,0.0151215427157,200.528502339,99.4886316065
269,2.68,406,0.681369397,0.0179513050953,200.546453645,99.4935856598
270,2.69,364,0.676075344,0.0160942735337,200.562547918,99.4994667874
271,2.7,336,0.671188525,0.0148562524926,200.577404171,99.5047395225
272,2.71,359,0.665967192,0.0158731983478,200.593277369,99.5096066627
273,2.72,362,0.660702227,0.0160058434593,200.609283212,99.5148069701
274,2.73,328,0.655931761,0.0145025321952,200.623785745,99.5200507341
275,2.74,316,0.651335825,0.013971951749,200.637757696,99.52480199
276,2.75,356,0.646158124,0.0157405532362,200.65349825,99.5293794194
277,2.76,308,0.641678541,0.0136182314516,200.667116481,99.5345362702
278,2.77,327,0.636922619,0.014458317158,200.681574798,99.5389978153
279,2.78,324,0.63221033,0.0143256720465,200.69590047,99.5437345856
280,2.79,329,0.62742532,0.0145467472324,200.710447217,99.5484278993
281,2.8,287,0.623251163,0.0126897156708,200.723136933,99.5531936406
282,2.81,329,0.618466153,0.0145467472324,200.73768368,99.5573509895
283,2.82,318,0.613841128,0.0140603818234,200.751744062,99.5621167308
284,2.83,254,0.610146926,0.0112306194438,200.762974682,99.5667231313
285,2.84,264,0.606307283,0.0116727698156,200.774647451,99.5704024574
286,2.85,295,0.602016773,0.0130434359682,200.787690887,99.574226639
287,2.86,256,0.598293482,0.0113190495182,200.799009937,99.5784998721
288,2.87,291,0.594061148,0.0128665758195,200.811876513,99.5822081693
289,2.88,308,0.589581565,0.0136182314516,200.825494744,99.5864234603
290,2.89,302,0.585189246,0.0133529412285,200.838847685,99.5908850054
291,2.9,270,0.581262338,0.0119380600387,200.850785745,99.5952596373
292,2.91,271,0.577320886,0.0119822750759,200.862768021,99.599170732
293,2.92,242,0.573801213,0.0107000389977,200.873468059,99.6030963123
294,2.93,314,0.569234365,0.0138835216747,200.887351581,99.606601812
295,2.94,275,0.565234737,0.0121591352246,200.899510716,99.6111502703
296,2.95,261,0.561438726,0.0115401247041,200.911050841,99.6151337928
297,2.96,237,0.557991774,0.0104789638118,200.921529805,99.6189145177
298,2.97,283,0.553875792,0.0125128555221,200.93404266,99.6223475897
299,2.98,258,0.550123414,0.0114074795925,200.94545014,99.6264469964
300,2.99,260,0.546341947,0.0114959096669,200.95694605,99.6301842647
301,3.0,252,0.542676833,0.0111421893695,200.968088239,99.6339505041
302,3.01,287,0.538502676,0.0126897156708,200.980777955,99.6376008592
303,3.02,233,0.5351139,0.010302103663,200.991080058,99.641758208
304,3.03,221,0.531899653,0.00977152321687,201.000851582,99.6451333379
305,3.04,241,0.528394524,0.0106558239605,201.011507406,99.6483346414
306,3.05,268,0.524496705,0.0118496299644,201.023357036,99.6518256556
307,3.06,239,0.521020664,0.0105673938861,201.033924429,99.6557077792
308,3.07,259,0.517253742,0.0114516946297,201.045376124,99.6591698223
309,3.08,243,0.513719525,0.0107442540348,201.056120378,99.6629215762
310,3.09,238,0.510258028,0.0105231788489,201.066643557,99.6664415614
311,3.1,231,0.506898341,0.0102136735887,201.076857231,99.669889119
312,3.11,201,0.503974976,0.00888722247327,201.085744453,99.6732352778
313,3.12,227,0.500673465,0.01003681344,201.095781266,99.6761468706
314,3.13,280,0.496601116,0.0123802104105,201.108161477,99.6794350873
315,3.14,253,0.492921458,0.0111864044066,201.119347881,99.6834910374
316,3.15,242,0.489401785,0.0107000389977,201.13004792,99.687155878
317,3.16,167,0.48697292,0.00738391120913,201.137431831,99.6906613777
318,3.17,183,0.484311349,0.00809135180402,201.145523183,99.6930804622
319,3.18,206,0.481315264,0.00910829765917,201.154631481,99.6957313153
320,3.19,163,0.478944575,0.00720705106041,201.161838532,99.6987153358
321,3.2,219,0.475759417,0.00968309314251,201.171521625,99.7010764781
322,3.21,191,0.472981493,0.00844507210146,201.179966697,99.7042488105
323,3.22,190,0.470218114,0.00840085706428,201.188367554,99.7070155479
324,3.23,179,0.467614719,0.0079144916553,201.196282046,99.7097677998
325,3.24,184,0.464938604,0.0081355668412,201.204417613,99.7123607107
326,3.25,199,0.462044328,0.0087987923989,201.213216405,99.7150260493
327,3.26,194,0.459222772,0.008577717213,201.221794122,99.717908671
328,3.27,184,0.456546657,0.0081355668412,201.229929689,99.720718865
329,3.28,210,0.453492395,0.00928515780789,201.239214847,99.7233842036
330,3.29,145,0.451383501,0.00641118039116,201.245626027,99.7264261662
331,3.3,204,0.448416504,0.00901986758481,201.254645895,99.7285265689
332,3.31,152,0.4462058,0.00672068565142,201.261366581,99.7314816183
333,3.32,158,0.443907832,0.00698597587451,201.268352557,99.7336834198
334,3.33,192,0.441115364,0.00848928713864,201.276841844,99.7359721345
335,3.34,152,0.43890466,0.00672068565142,201.283562529,99.7387533574
336,3.35,170,0.436432163,0.00751655632067,201.291079086,99.7409551589
337,3.36,134,0.434483253,0.00592481498218,201.297003901,99.7434177
338,3.37,165,0.432083476,0.00729548113477,201.304299382,99.7453587618
339,3.38,193,0.429276464,0.00853350217582,201.312832884,99.7477488753
340,3.39,144,0.427182114,0.00636696535398,201.319199849,99.7505445837
341,3.4,159,0.424869601,0.00703019091169,201.32623004,99.7526305009
342,3.41,144,0.42277525,0.00636696535398,201.332597006,99.7549337012
343,3.42,153,0.420550003,0.0067649006886,201.339361906,99.7570196183
344,3.43,151,0.418353843,0.00667647061424,201.346038377,99.7592359054
345,3.44,138,0.416346757,0.0061016751309,201.352140052,99.7614232213
346,3.45,153,0.414121509,0.0067649006886,201.358904953,99.7634222253
347,3.46,127,0.412274408,0.00561530972191,201.364520262,99.7656385123
348,3.47,133,0.410340043,0.005880599945,201.370400862,99.7674781754
349,3.48,155,0.408085707,0.00685333076297,201.377254193,99.7694047517
350,3.49,158,0.405787738,0.00698597587451,201.384240169,99.7716500097
351,3.5,152,0.403577035,0.00672068565142,201.390960855,99.7739387244
352,3.51,151,0.401380875,0.00667647061424,201.397637325,99.7761405259
353,3.52,160,0.399053819,0.00707440594887,201.404711731,99.7783278419
354,3.53,137,0.397061277,0.00605746009372,201.410769191,99.7806455276
355,3.54,131,0.395155999,0.00579216987064,201.416561361,99.7826300461
356,3.55,140,0.393119825,0.00619010520526,201.422751466,99.7845276513
357,3.56,112,0.391490885,0.00495208416421,201.427703551,99.7865556263
358,3.57,112,0.389861946,0.00495208416421,201.432655635,99.7881780064
359,3.58,129,0.387985757,0.00570373979627,201.438359375,99.7898003864
360,3.59,126,0.3861532,0.00557109468473,201.443930469,99.7916690206
361,3.6,121,0.384393363,0.00535001949883,201.449280489,99.7934941981
362,3.61,133,0.382458998,0.005880599945,201.455161089,99.795246948
363,3.62,142,0.380393735,0.00627853527962,201.461439624,99.7971735243
364,3.63,143,0.378313928,0.0063227503168,201.467762374,99.7992304704
365,3.64,115,0.376641357,0.00508472927575,201.472847104,99.801301902
366,3.65,123,0.374852432,0.00543844957319,201.478285553,99.8029677387
367,3.66,123,0.373063507,0.00543844957319,201.483724003,99.8047494596
368,3.67,155,0.370809171,0.00685333076297,201.490577333,99.8065311806
369,3.68,140,0.368772997,0.00619010520526,201.496767439,99.8087764386
370,3.69,126,0.36694044,0.00557109468473,201.502338533,99.8108044137
371,3.7,98,0.365515118,0.00433307364368,201.506671607,99.8126295912
372,3.71,86,0.364264325,0.00380249319752,201.5104741,99.8140491738
373,3.72,126,0.362431768,0.00557109468473,201.516045195,99.8152949299
374,3.73,126,0.360599211,0.00557109468473,201.52161629,99.8171201074
375,3.74,136,0.358621213,0.00601324505654,201.527629535,99.8189452849
376,3.75,99,0.357181347,0.00437728868086,201.532006823,99.8209153178
377,3.76,134,0.355232437,0.00592481498218,201.537931638,99.8223493859
378,3.77,112,0.353603498,0.00495208416421,201.542883722,99.8242904477
379,3.78,132,0.351683676,0.00583638490782,201.548720107,99.8259128278
380,3.79,104,0.35017109,0.00459836386676,201.553318471,99.8278249185
381,3.8,99,0.348731223,0.00437728868086,201.55769576,99.8293314143
382,3.81,105,0.347204093,0.00464257890394,201.562338339,99.8307654824
383,3.82,90,0.345895123,0.00397935334624,201.566317692,99.8322864636
384,3.83,107,0.344338904,0.00473100897831,201.571048701,99.8335901619
385,3.84,97,0.342928126,0.0042888586065,201.57533756,99.8351401142
386,3.85,97,0.341517348,0.0042888586065,201.579626418,99.8365452112
387,3.86,101,0.340048394,0.00446571875522,201.584092137,99.8379503082
388,3.87,87,0.338783057,0.0038467082347,201.587938845,99.8394133474
389,3.88,103,0.337285015,0.00455414882958,201.592492994,99.840673589
390,3.89,126,0.335452458,0.00557109468473,201.598064089,99.8421655992
391,3.9,111,0.333838062,0.00490786912703,201.602971958,99.8439907768
392,3.91,75,0.332747254,0.00331612778853,201.606288086,99.8455986713
393,3.92,81,0.331569182,0.00358141801161,201.609869504,99.8466850865
394,3.93,90,0.330260213,0.00397935334624,201.613848857,99.8478584149
395,3.94,98,0.328834891,0.00433307364368,201.618181931,99.8491621131
