Bins,Contribution,accum
-4.35,8,99.40599282
-4.34,14,99.4056391
-4.33,13,99.40502009
-4.32,14,99.40444529
-4.31,10,99.40382628
-4.30,17,99.40338413
-4.29,15,99.40263248
-4.28,12,99.40196925
-4.27,3,99.40143867
-4.26,8,99.40130602
-4.25,4,99.4009523
-4.24,9,99.40077544
-4.23,22,99.40037751
-4.22,18,99.39940478
-4.21,19,99.39860891
-4.20,12,99.39776882
-4.19,4,99.39723824
-4.18,23,99.39706138
-4.17,14,99.39604443
-4.16,8,99.39542542
-4.15,1,99.3950717
-4.14,13,99.39502749
-4.13,12,99.39445269
-4.12,9,99.39392211
-4.11,10,99.39352417
-4.10,13,99.39308202
-4.09,12,99.39250723
-4.08,13,99.39197665
-4.07,5,99.39140185
-4.06,9,99.39118078
-4.05,22,99.39078284
-4.04,11,99.38981011
-4.03,7,99.38932374
-4.02,18,99.38901424
-4.01,30,99.38821837
-4.00,5,99.38689192
-3.99,16,99.38667084
-3.98,16,99.3859634
-3.97,22,99.38525596
-3.96,27,99.38428323
-3.95,27,99.38308942
-3.94,14,99.38189561
-3.93,18,99.3812766
-3.92,15,99.38048073
-3.91,33,99.37981751
-3.90,14,99.37835841
-3.89,16,99.3777394
-3.88,26,99.37703196
-3.87,23,99.37588237
-3.86,16,99.37486542
-3.85,11,99.37415798
-3.84,9,99.37367161
-3.83,13,99.37327368
-3.82,22,99.37269888
-3.81,27,99.37172615
-3.80,18,99.37053234
-3.79,26,99.36973647
-3.78,6,99.36858688
-3.77,11,99.36832159
-3.76,12,99.36783523
-3.75,32,99.36730465
-3.74,16,99.36588976
-3.73,34,99.36518232
-3.72,29,99.36367901
-3.71,9,99.36239677
-3.70,14,99.36199884
-3.69,19,99.36137983
-3.68,29,99.36053974
-3.67,10,99.35925751
-3.66,6,99.35881535
-3.65,19,99.35855006
-3.64,26,99.35770998
-3.63,17,99.35656039
-3.62,23,99.35580873
-3.61,31,99.35479178
-3.60,14,99.35342112
-3.59,34,99.35280211
-3.58,24,99.3512988
-3.57,18,99.35023763
-3.56,30,99.34944176
-3.55,26,99.34811531
-3.54,34,99.34696572
-3.53,20,99.34546241
-3.52,33,99.34457811
-3.51,23,99.34311901
-3.50,22,99.34210206
-3.49,26,99.34112933
-3.48,13,99.33997974
-3.47,29,99.33940494
-3.46,36,99.33812271
-3.45,22,99.33653097
-3.44,42,99.33555823
-3.43,29,99.3337012
-3.42,21,99.33241897
-3.41,27,99.33149045
-3.40,30,99.33029664
-3.39,25,99.32897019
-3.38,22,99.32786482
-3.37,20,99.32689208
-3.36,25,99.32600778
-3.35,44,99.32490241
-3.34,24,99.32295694
-3.33,26,99.32189578
-3.32,35,99.32074619
-3.31,35,99.31919866
-3.30,21,99.31765114
-3.29,29,99.31672262
-3.28,19,99.31544038
-3.27,41,99.3146003
-3.26,30,99.31278748
-3.25,32,99.31146103
